personnel_report_no,personnel_no,personnel_attendance_date,personnel_time_in,personnel_time_out
23050900006,2000279250,2023-05-09,22:12:15.0000000,22:30:11.0000000
23051100001,10000110113,2023-05-11,15:58:46.0000000,22:50:11.0000000
23051100002,10000001337,2023-05-11,15:58:53.0000000,22:50:19.0000000
23051100003,2000318332,2023-05-11,15:58:59.0000000,22:50:24.0000000
23051100004,2000279250,2023-05-11,15:59:18.0000000,22:53:24.0000000
23051100005,2000310782,2023-05-11,15:59:37.0000000,22:48:21.0000000
23051100006,2000114359,2023-05-11,16:00:54.0000000,22:49:50.0000000
23051100007,2000131616,2023-05-11,16:01:01.0000000,22:49:56.0000000
23051100008,2000000,2023-05-11,16:09:26.0000000,22:42:46.0000000
23051100009,2000029157,2023-05-11,16:09:34.0000000,22:42:41.0000000
23051200001,2000029157,2023-05-12,15:49:04.0000000,22:42:58.0000000
23051200002,2000000,2023-05-12,15:49:09.0000000,22:42:04.0000000
23051200003,2000310782,2023-05-12,16:11:29.0000000,22:49:14.0000000
23051200004,2000114359,2023-05-12,16:18:45.0000000,22:10:39.0000000
23051200005,2000131616,2023-05-12,16:18:54.0000000,22:50:13.0000000
23051200006,10000110113,2023-05-12,16:19:08.0000000,22:50:28.0000000
23051200007,10000001337,2023-05-12,16:20:14.0000000,22:50:38.0000000
23051200008,2000318332,2023-05-12,16:20:21.0000000,22:50:51.0000000
23051200009,2000279250,2023-05-12,16:28:34.0000000,22:08:15.0000000
23051300000,2000279250,2023-05-13,09:15:42.0000000,10:53:48.0000000
23051300001,2000114359,2023-05-13,09:18:40.0000000,10:58:15.0000000
23051300002,2000310782,2023-05-13,09:47:49.0000000,10:57:45.0000000
23051300003,2000131616,2023-05-13,09:48:52.0000000,10:59:14.0000000
23051300004,10000001337,2023-05-13,09:49:39.0000000,11:00:02.0000000
23051300005,2000318332,2023-05-13,09:49:52.0000000,11:00:08.0000000
23051300006,10000110113,2023-05-13,09:50:11.0000000,11:05:50.0000000
23051300007,2000029157,2023-05-13,09:56:40.0000000,10:52:14.0000000
23051300008,2000000,2023-05-13,09:57:33.0000000,11:03:08.0000000
